kamera_adi,enlem,boylam
Şerafettin Cami,37.87337484658136,32.49844282153692
Konya Büyükşehir Stadyumu,37.946363857949784,32.48803446137015
İstiklal Harbi Şehitleri Abidesi,37.870601605939804,32.50927355442301
Alaaddin Keykubad Cami,37.873397693040694,32.492889725088865
Kültürpark,37.87512863941936,32.489147273171454
Mevlana Kültür Merkezi,37.86941005979901,32.51591693248606
Türk Yıldızları Parkı,37.95752461372053,32.55911353622763
Kent Plaza Kavşağı,37.903875731302016,32.49530797527702
Kule Kavşağı,37.88785288253043,32.49497154552668
Hayvan Bakım Evi - 4,37.79033043230617,32.234385889665866
