tarih_saat,PM10 ( µg/m3 ),SO2 ( µg/m3 ),NO2 ( mg/m3 ),NOX ( µg/m3 ),NO ( mg/m3 ),O3 ( µg/m3 )
2023-01-01 00:00:56,48.58,5.24,,,,15.62
2023-01-01 01:00:56,48.77,9.34,,,,14.89
2023-01-01 02:00:56,48.93,9.54,,,,20.82
2023-01-01 03:00:56,49.9,9.0,,,,28.41
2023-01-01 04:00:56,45.05,8.0,,,,29.6
2023-01-01 05:00:56,32.51,7.58,,,,31.67
2023-01-01 06:00:56,29.12,7.34,,,,32.32
2023-01-01 07:00:56,29.98,7.2,,,,32.6
2023-01-01 08:00:56,27.65,6.98,,,,29.64
2023-01-01 09:00:56,28.98,7.01,,,,31.25
2023-01-01 10:00:56,25.25,8.38,,,,34.86
2023-01-01 11:00:56,19.87,9.69,,,,42.66
2023-01-01 12:00:56,23.76,12.47,,,,45.6
2023-01-01 13:00:56,31.69,16.31,,,,47.49
2023-01-01 14:00:56,42.28,13.47,,,,50.04
2023-01-01 15:00:56,37.96,16.46,,,,52.63
2023-01-01 16:00:56,42.84,18.32,,,,51.18
2023-01-01 17:00:56,30.64,15.91,,,,43.7
2023-01-01 18:00:56,26.19,10.92,,,,30.6
2023-01-01 19:00:56,28.41,10.89,,,,16.73
2023-01-01 20:00:56,31.21,11.56,,,,13.9
2023-01-01 21:00:56,32.34,10.72,,,,19.4
2023-01-01 22:00:56,33.24,8.53,,,,23.2
2023-01-01 23:00:56,22.73,7.71,,,,22.38
2023-01-02 00:00:56,23.04,7.64,,,,21.99
2023-01-02 01:00:56,24.86,8.94,,,,33.06
2023-01-02 02:00:56,23.17,8.82,,,,31.67
2023-01-02 03:00:56,18.81,8.75,,,,37.94
2023-01-02 04:00:56,21.42,8.77,,,,41.12
2023-01-02 05:00:56,18.37,8.12,,,,39.11
2023-01-02 06:00:56,17.04,7.63,,,,36.32
2023-01-02 07:00:56,13.33,7.73,,,,34.26
2023-01-02 08:00:56,17.86,6.39,,,,17.68
2023-01-02 09:00:56,36.69,18.41,,,,12.53
2023-01-02 10:00:56,68.12,13.94,,,,20.01
2023-01-02 11:00:56,59.37,12.74,,,,28.31
2023-01-02 12:00:56,63.17,33.15,,,,28.12
2023-01-02 13:00:56,68.41,14.43,,,,30.61
2023-01-02 14:00:56,72.59,13.82,,,,38.16
2023-01-02 15:00:56,68.61,12.83,,,,42.99
2023-01-02 16:00:56,69.64,14.71,,,,48.12
2023-01-02 17:00:56,55.99,12.35,,,,39.04
2023-01-02 18:00:56,77.36,9.61,,,,28.29
2023-01-02 19:00:56,67.38,7.62,,,,11.48
2023-01-02 20:00:56,67.73,5.68,,,,8.07
2023-01-02 21:00:56,72.08,7.31,,,,8.15
2023-01-02 22:00:56,77.34,6.62,,,,6.65
2023-01-02 23:00:56,65.47,6.87,,,,10.22
2023-01-03 00:00:56,66.74,5.39,,,,8.06
2023-01-03 01:00:56,71.14,11.45,,,,8.75
2023-01-03 02:00:56,69.53,15.89,,,,7.06
2023-01-03 03:00:56,62.22,10.46,,,,14.06
2023-01-03 04:00:56,51.96,5.71,,,,26.41
2023-01-03 05:00:56,33.94,5.22,,,,22.15
2023-01-03 06:00:56,23.01,3.74,,,,27.53
2023-01-03 07:00:56,16.74,4.33,,,,16.92
2023-01-03 08:00:56,15.9,4.51,,,,9.81
2023-01-03 09:00:56,19.96,4.0,,,,7.53
2023-01-03 10:00:56,48.22,5.35,,,,11.03
2023-01-03 11:00:56,68.18,7.96,,,,16.52
2023-01-03 12:00:56,81.79,14.26,,,,20.99
2023-01-03 13:00:56,99.53,12.2,,,,22.41
2023-01-03 14:00:56,111.73,8.42,,,,22.09
2023-01-03 15:00:56,120.24,18.76,,,,24.91
2023-01-03 16:00:56,122.43,19.29,,,,27.95
2023-01-03 17:00:56,112.27,16.68,,,,22.55
2023-01-03 18:00:56,111.33,14.1,,,,9.02
