tarih_saat,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),NO ( µg/m3 ),O3 ( µg/m3 )
2023-01-01 00:00:56,450.14,,141.16,,,454.82,260.48,46.31
2023-01-01 01:00:56,505.86,,180.82,,,553.79,321.04,53.35
2023-01-01 02:00:56,550.56,,141.82,,,597.47,353.06,51.79
2023-01-01 03:00:56,564.17,,102.44,,,483.62,285.8,41.64
2023-01-01 04:00:56,520.79,,127.61,,,315.85,179.44,32.77
2023-01-01 05:00:56,385.63,,125.02,,,313.33,180.14,26.01
2023-01-01 06:00:56,415.22,,96.85,,,295.67,168.22,22.44
2023-01-01 07:00:56,385.94,,122.24,,,263.88,147.05,19.97
2023-01-01 08:00:56,308.12,,73.84,,,146.46,71.67,3.41
2023-01-01 09:00:56,198.47,,71.94,,,202.83,111.91,5.77
2023-01-01 10:00:56,195.58,,87.7,,,213.25,113.19,11.83
2023-01-01 11:00:56,250.56,,54.74,,,109.03,50.05,4.57
2023-01-01 12:00:56,186.1,,57.27,,,107.31,42.78,18.42
2023-01-01 13:00:56,212.53,,55.45,608.29,,67.54,23.21,5.03
2023-01-01 14:00:56,148.66,,32.69,319.93,,24.92,7.07,11.08
2023-01-01 15:00:56,59.97,,34.56,266.28,,17.96,4.25,18.34
2023-01-01 16:00:56,49.69,,36.62,297.92,,16.16,3.64,21.44
2023-01-01 17:00:56,27.84,,45.16,349.97,,18.83,4.07,21.56
2023-01-01 18:00:56,36.55,,59.51,627.44,,36.58,4.92,16.53
2023-01-01 19:00:56,65.86,,81.04,,,61.45,8.4,9.64
2023-01-01 20:00:56,93.54,,142.44,,,196.75,86.42,17.21
2023-01-01 21:00:56,172.48,,192.9,,,336.82,172.52,36.27
2023-01-01 22:00:56,394.62,,203.24,,,430.71,236.27,51.52
2023-01-01 23:00:56,561.84,,250.24,,,531.52,301.37,53.69
2023-01-02 00:00:56,566.29,,224.15,,,293.79,149.94,44.04
2023-01-02 01:00:56,418.26,,146.26,,,241.19,120.64,26.38
2023-01-02 02:00:56,307.68,,185.98,,,119.85,43.29,17.38
2023-01-02 03:00:56,216.04,,120.73,,,70.08,17.17,10.96
2023-01-02 04:00:56,126.96,,86.82,,,48.06,7.36,5.26
2023-01-02 05:00:56,85.63,,96.83,,,58.19,11.75,7.54
2023-01-02 06:00:56,120.62,,95.72,,,73.44,21.85,9.26
2023-01-02 07:00:56,110.61,,81.08,,,96.17,36.49,11.12
2023-01-02 08:00:56,118.11,,87.09,,,185.02,89.85,11.58
2023-01-02 09:00:56,150.75,,139.52,,,348.73,188.05,20.17
2023-01-02 10:00:56,242.67,,124.43,,,332.93,171.41,21.08
2023-01-02 11:00:56,259.71,,121.69,,,176.99,79.26,8.85
2023-01-02 12:00:56,239.7,,75.98,,,142.42,57.38,9.05
2023-01-02 13:00:56,183.88,,37.23,468.22,,75.91,25.86,12.78
2023-01-02 14:00:56,119.1,,28.66,369.91,,44.3,11.65,17.88
2023-01-02 15:00:56,88.18,,27.91,306.89,,31.21,6.54,22.02
2023-01-02 16:00:56,68.41,,26.35,266.28,,30.66,5.62,23.55
2023-01-02 17:00:56,68.75,,37.98,282.91,,27.41,3.16,21.61
2023-01-02 18:00:56,77.39,,56.56,724.18,,48.04,4.24,30.35
2023-01-02 19:00:56,313.02,,100.74,,,134.87,42.21,8.64
2023-01-02 20:00:56,190.22,,228.38,,,399.38,205.18,29.12
2023-01-02 21:00:56,354.62,,192.47,,,554.46,305.1,37.03
2023-01-02 22:00:56,505.62,,188.86,,,552.13,305.88,33.21
2023-01-02 23:00:56,460.24,,175.53,,,462.13,254.92,29.87
2023-01-03 00:00:56,415.39,,212.96,,,548.52,312.57,38.71
2023-01-03 01:00:56,571.18,,195.34,,,472.83,270.24,28.82
2023-01-03 02:00:56,573.87,,246.99,,,,,1.03
2023-01-03 03:00:56,537.08,,199.35,,,328.92,175.89,30.3
2023-01-03 04:00:56,421.39,,158.52,,,246.75,129.4,18.38
2023-01-03 05:00:56,326.52,,144.62,,,240.85,127.15,22.89
2023-01-03 06:00:56,286.32,,120.47,,,328.72,187.74,22.07
2023-01-03 07:00:56,325.17,,91.99,,,307.68,175.08,21.84
2023-01-03 08:00:56,329.09,,50.07,,,177.66,91.98,10.98
2023-01-03 09:00:56,274.09,,75.68,,,317.76,175.1,18.08
2023-01-03 10:00:56,312.59,,69.89,,,397.0,219.29,19.4
2023-01-03 11:00:56,323.08,,73.8,,,367.05,187.89,17.44
2023-01-03 12:00:56,337.94,,47.0,,,279.27,140.76,10.62
2023-01-03 13:00:56,300.01,,37.42,945.95,,134.91,60.0,7.85
2023-01-03 14:00:56,213.85,,36.45,706.55,,87.45,34.66,8.18
2023-01-03 15:00:56,154.08,,34.42,539.96,,63.24,20.19,11.03
2023-01-03 16:00:56,136.82,,39.44,566.41,,59.08,14.94,13.41
2023-01-03 17:00:56,105.4,,47.87,658.7,,64.44,11.95,12.66
2023-01-03 18:00:56,116.06,,54.93,862.29,,79.34,10.82,9.75
2023-01-03 19:00:56,133.04,,76.7,,,160.58,57.56,23.36
2023-01-03 20:00:56,156.35,,145.15,,,660.49,365.75,40.41
2023-01-03 21:00:56,505.57,,174.49,,,607.34,339.12,52.53
2023-01-03 22:00:56,628.62,,182.13,,,673.31,386.35,50.56
2023-01-03 23:00:56,627.59,,185.47,,,724.13,424.85,56.67
2023-01-04 00:00:56,751.26,,141.75,,,700.47,414.88,48.42
2023-01-04 01:00:56,696.18,,142.45,,,672.45,401.64,51.2
2023-01-04 02:00:56,752.44,,228.79,10.889,,703.29,418.11,60.21
2023-01-04 03:00:56,863.83,,192.63,,,585.51,341.48,45.02
2023-01-04 04:00:56,587.22,,166.06,,,547.73,320.11,44.54
2023-01-04 05:00:56,714.55,,138.55,,,544.17,321.31,37.58
2023-01-04 06:00:56,671.35,,79.65,,,401.05,238.17,25.93
2023-01-04 07:00:56,502.45,,39.02,,,263.6,145.47,17.52
2023-01-04 08:00:56,464.12,,40.82,,,284.89,153.24,17.47
2023-01-04 09:00:56,414.0,,51.08,,,307.86,167.32,21.97
2023-01-04 10:00:56,303.86,,46.03,,,366.38,202.71,26.5
2023-01-04 11:00:56,364.21,,40.04,,,288.81,156.08,24.21
2023-01-04 12:00:56,235.87,,35.17,,,154.45,72.58,24.9
2023-01-04 13:00:56,207.56,,41.35,,,129.36,56.38,25.68
2023-01-04 14:00:56,234.99,,50.2,784.06,,81.8,31.1,25.04
2023-01-04 15:00:56,155.53,,46.86,618.75,,64.12,18.81,26.46
2023-01-04 16:00:56,148.94,,42.36,512.21,,52.66,10.92,30.67
2023-01-04 17:00:56,110.5,,38.81,513.64,,43.64,5.77,34.82
2023-01-04 18:00:56,85.63,,79.38,,,80.66,11.36,28.98
2023-01-04 19:00:56,124.55,,105.53,,,179.13,65.21,41.11
2023-01-04 20:00:56,329.28,,151.26,,,632.33,346.98,59.99
2023-01-04 21:00:56,534.95,,179.36,,,797.62,451.98,77.76
2023-01-04 22:00:56,690.84,,220.34,,,786.19,452.14,79.71
2023-01-04 23:00:56,714.68,,303.25,,,716.08,414.24,83.84
2023-01-05 00:00:56,754.73,,163.94,,,449.08,249.47,49.81
2023-01-05 01:00:56,429.9,,149.62,,,405.98,227.54,53.77
2023-01-05 02:00:56,504.98,,231.07,,,533.95,309.28,15.52
2023-01-05 03:00:56,705.73,,183.93,,,479.94,278.24,37.36
2023-01-05 04:00:56,606.63,,131.45,,,465.5,270.54,25.92
2023-01-05 05:00:56,473.43,,122.75,,,466.83,274.56,23.88
2023-01-05 06:00:56,506.22,,122.34,,,447.24,260.92,24.97
2023-01-05 07:00:56,564.2,,78.37,,,323.9,185.04,14.68
2023-01-05 08:00:56,456.91,,30.72,,,163.84,86.71,3.61
2023-01-05 09:00:56,303.83,,25.89,,,149.37,75.71,4.87
2023-01-05 10:00:56,209.53,,21.68,,,106.4,51.94,4.51
2023-01-05 11:00:56,151.52,,31.1,,,120.78,59.31,8.31
2023-01-05 12:00:56,200.52,,36.07,887.86,,101.56,48.56,8.6
2023-01-05 13:00:56,176.82,,44.69,587.96,,79.39,35.72,7.68
2023-01-05 14:00:56,194.09,,45.11,538.74,,59.96,22.76,9.43
2023-01-05 15:00:56,127.92,,44.14,648.32,,70.58,21.96,10.68
2023-01-05 16:00:56,128.92,,36.07,475.15,,55.94,17.1,7.99
2023-01-05 17:00:56,108.44,,41.9,526.49,,48.7,11.23,8.73
2023-01-05 18:00:56,87.88,,58.88,920.07,,70.76,12.25,9.05
2023-01-05 19:00:56,129.33,,79.66,,,157.93,59.03,18.17
2023-01-05 20:00:56,211.82,,100.71,,,329.05,170.22,36.81
2023-01-05 21:00:56,384.72,,137.82,,,474.53,265.09,44.13
2023-01-05 22:00:56,399.11,,138.32,,,391.1,215.58,35.81
2023-01-05 23:00:56,414.72,,96.08,,,302.91,163.93,28.25
2023-01-06 00:00:56,365.1,,111.17,,,318.99,175.85,30.82
2023-01-06 01:00:56,396.85,,168.72,,,365.75,206.11,34.7
2023-01-06 02:00:56,485.21,,116.05,,,309.75,172.52,22.43
2023-01-06 03:00:56,424.86,,122.45,,,353.68,203.38,24.39
2023-01-06 04:00:56,509.47,,158.62,,,305.67,173.73,25.62
2023-01-06 05:00:56,468.99,,108.26,,,266.73,150.26,14.45
2023-01-06 06:00:56,378.56,,110.26,,,269.57,153.76,12.74
2023-01-06 07:00:56,321.13,,76.51,,,235.46,131.03,10.84
2023-01-06 08:00:56,354.94,,63.05,,,194.77,101.59,4.1
2023-01-06 09:00:56,305.55,,52.89,,,229.17,122.85,5.21
2023-01-06 10:00:56,218.77,,70.65,,,344.83,189.49,12.43
2023-01-06 11:00:56,256.7,,71.39,,,358.29,185.81,10.44
2023-01-06 12:00:56,328.44,,79.82,,,188.25,76.84,4.22
2023-01-06 13:00:56,,,106.88,797.74,,100.45,33.7,1.04
2023-01-06 14:00:56,,,82.04,706.61,,80.14,22.18,2.41
2023-01-06 15:00:56,,,89.22,654.05,,50.74,10.91,10.7
2023-01-06 16:00:56,,,42.89,453.88,,34.98,6.05,13.26
2023-01-06 17:00:56,,,50.46,529.15,,48.72,6.22,9.68
2023-01-06 18:00:56,,,98.95,,,104.67,20.03,3.91
2023-01-06 19:00:56,,,171.88,,,389.1,190.27,22.85
2023-01-06 20:00:56,,,231.93,,,422.56,217.54,34.19
2023-01-06 21:00:56,,,81.4,,,84.51,16.07,5.49
2023-01-06 22:00:56,,,65.06,676.46,,35.88,4.32,5.53
2023-01-06 23:00:56,,,95.3,872.95,,42.81,5.74,12.32
2023-01-07 00:00:56,,,110.23,973.35,,50.19,8.03,12.29
2023-01-07 01:00:56,,,118.55,,,60.81,11.29,12.05
2023-01-07 02:00:56,,,85.41,,,58.08,13.34,8.74
2023-01-07 03:00:56,,,75.49,,,40.63,6.47,8.17
2023-01-07 04:00:56,,,87.06,,,48.13,9.42,10.24
2023-01-07 05:00:56,,,82.78,,,51.92,11.76,10.17
2023-01-07 06:00:56,,,75.69,,,,10.86,8.05
2023-01-07 07:00:56,,,57.91,,,77.85,28.88,8.91
2023-01-07 08:00:56,,,65.87,,,78.67,27.4,8.8
2023-01-07 09:00:56,,,69.57,959.61,,66.81,17.66,5.37
2023-01-07 10:00:56,,,110.01,,,142.44,60.24,10.97
2023-01-07 11:00:56,,,66.09,701.48,,57.7,20.74,8.81
2023-01-07 12:00:56,,,45.12,376.43,,24.93,6.7,11.87
2023-01-07 13:00:56,,,35.05,375.37,,23.13,5.01,13.49
2023-01-07 14:00:56,,,32.38,342.77,,23.09,4.96,16.46
2023-01-07 15:00:56,,,26.28,328.94,,21.34,4.27,20.03
2023-01-07 16:00:56,,,24.57,329.06,,17.99,2.78,21.85
2023-01-07 17:00:56,,,28.34,316.01,,16.31,1.92,21.92
2023-01-07 18:00:56,,,40.33,565.15,,29.67,2.79,20.77
2023-01-07 19:00:56,,,48.0,602.55,,55.7,6.34,9.73
2023-01-07 20:00:56,,,51.71,628.75,,49.17,4.86,12.27
2023-01-07 21:00:56,,,75.31,756.7,,48.68,4.21,10.36
2023-01-07 22:00:56,,,84.92,,,59.43,6.02,10.44
2023-01-07 23:00:56,,,78.63,,,79.92,16.73,9.23
2023-01-08 00:00:56,,,64.34,,,122.55,45.36,11.49
2023-01-08 01:00:56,,,106.63,,,180.01,84.04,21.04
2023-01-08 02:00:56,,,79.73,,,100.68,36.84,14.53
2023-01-08 03:00:56,,,59.95,,,57.97,13.82,8.3
2023-01-08 04:00:56,,,73.77,,,53.54,13.02,7.31
2023-01-08 05:00:56,,,22.84,633.57,,32.66,5.99,3.54
2023-01-08 06:00:56,,,10.87,388.42,,17.71,1.78,5.01
2023-01-08 07:00:56,,,8.79,321.4,,12.68,1.6,8.13
2023-01-08 08:00:56,,,8.81,429.92,,15.7,1.97,8.84
2023-01-08 09:00:56,,,12.16,518.99,,24.62,3.17,7.47
2023-01-08 10:00:56,,,9.45,445.92,,22.18,3.69,7.37
2023-01-08 11:00:56,,,12.14,571.45,,32.27,7.73,7.83
2023-01-08 12:00:56,,,22.29,519.46,,43.99,12.2,10.99
2023-01-08 13:00:56,,,25.85,636.65,,42.1,9.27,11.44
2023-01-08 14:00:56,,,31.33,854.22,,57.2,13.95,10.59
2023-01-08 15:00:56,,,31.54,839.16,,59.89,14.24,10.45
2023-01-08 16:00:56,,,28.24,829.03,,61.23,12.93,10.04
2023-01-08 17:00:56,,,21.28,703.2,,63.54,11.83,6.68
2023-01-08 18:00:56,,,17.29,629.9,,59.63,8.58,2.91
2023-01-08 19:00:56,,,31.64,,,77.82,13.6,3.3
2023-01-08 20:00:56,,,26.84,924.39,,55.98,5.14,7.17
2023-01-08 21:00:56,,,31.73,724.96,,39.97,3.84,14.12
2023-01-08 22:00:56,,,21.26,466.13,,27.23,2.13,12.68
2023-01-08 23:00:56,,,17.08,528.48,,30.4,2.14,11.09
2023-01-09 00:00:56,,,23.07,810.59,,37.72,2.93,10.62
2023-01-09 01:00:56,,,23.0,581.1,,27.03,2.3,15.44
2023-01-09 02:00:56,,,22.13,561.44,,30.57,1.86,13.48
2023-01-09 03:00:56,,,17.97,565.9,,29.51,1.75,12.76
2023-01-09 04:00:56,,,17.44,618.64,,26.0,1.74,14.22
2023-01-09 05:00:56,,,17.84,701.07,,31.29,2.02,11.53
2023-01-09 06:00:56,,,16.51,664.38,,30.8,2.04,11.18
2023-01-09 07:00:56,,,11.36,564.66,,25.47,1.44,13.65
2023-01-09 08:00:56,,,22.63,926.78,,62.72,13.4,3.2
2023-01-09 09:00:56,,,36.71,,,75.58,17.25,3.89
2023-01-09 10:00:56,,,32.98,886.44,,61.13,12.77,8.75
2023-01-09 11:00:56,,,31.2,780.97,,54.76,9.91,10.1
2023-01-09 12:00:56,,,21.15,549.57,,43.81,7.82,12.74
2023-01-09 13:00:56,,,20.04,515.1,,39.29,8.48,15.42
2023-01-09 14:00:56,,,17.07,451.96,,28.41,6.05,17.97
2023-01-09 15:00:56,,,11.96,343.4,,21.77,4.92,20.33
2023-01-09 16:00:56,,,11.83,272.72,,14.63,2.56,21.04
2023-01-09 17:00:56,,,11.54,258.3,,14.59,1.96,19.09
2023-01-09 18:00:56,,,13.28,359.19,,18.95,1.65,22.99
2023-01-09 19:00:56,27.85,,24.42,539.16,,32.51,3.21,27.38
2023-01-09 20:00:56,73.65,,33.81,644.97,,45.38,6.15,20.48
2023-01-09 21:00:56,82.29,,39.7,765.91,,52.48,8.23,18.83
2023-01-09 22:00:56,86.9,,53.12,,,69.23,15.15,18.76
2023-01-09 23:00:56,102.81,,75.51,,,76.65,20.03,21.69
2023-01-10 00:00:56,140.34,,118.43,,,160.09,72.36,27.56
2023-01-10 01:00:56,172.89,,97.87,,,145.87,65.65,16.82
2023-01-10 02:00:56,189.33,,114.44,,,171.03,83.47,19.28
2023-01-10 03:00:56,221.95,,129.05,,,197.79,102.51,19.99
2023-01-10 04:00:56,246.05,,43.34,,,74.65,30.1,3.33
2023-01-10 05:00:56,222.08,,21.46,882.1,,34.17,4.35,3.43
2023-01-10 06:00:56,162.31,,19.39,999.59,,65.78,17.84,2.66
2023-01-10 07:00:56,126.76,,31.98,,,79.38,25.09,4.78
2023-01-10 08:00:56,114.74,,26.78,977.02,,69.61,19.74,5.75
2023-01-10 09:00:56,98.55,,23.56,,,88.32,31.41,6.29
2023-01-10 10:00:56,87.74,,24.71,,,122.7,52.57,8.25
2023-01-10 11:00:56,90.19,,26.45,,,137.85,61.69,8.79
2023-01-10 12:00:56,106.11,,35.46,,,141.14,62.33,12.83
2023-01-10 13:00:56,118.22,,40.85,815.77,,119.2,49.29,8.78
2023-01-10 14:00:56,117.32,,28.78,505.44,,42.4,13.64,10.97
2023-01-10 15:00:56,113.4,,22.75,436.43,,31.33,8.19,12.12
2023-01-10 16:00:56,104.84,,22.83,465.33,,32.8,7.25,12.42
2023-01-10 17:00:56,90.43,,29.61,577.83,,43.49,7.6,10.17
2023-01-10 18:00:56,85.39,,89.27,,,134.24,43.9,3.77
2023-01-10 19:00:56,116.59,,167.63,,,243.65,110.48,23.62
2023-01-10 20:00:56,285.23,,275.07,,,461.52,246.21,50.62
2023-01-10 21:00:56,541.56,,284.91,,,645.57,358.85,51.54
2023-01-10 22:00:56,598.69,,248.81,,,669.44,378.83,49.48
2023-01-10 23:00:56,609.43,,272.95,,,610.74,347.16,54.29
