tarih_saat,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),NO ( µg/m3 ),O3 ( µg/m3 )
2023-01-01 00:00:56,167.28,113.21,15.51,,,,,16.42
2023-01-01 01:00:56,222.52,138.98,15.64,,,,,7.25
2023-01-01 02:00:56,180.0,107.59,,,,,,2.98
2023-01-01 03:00:56,133.85,95.67,8.84,968.5,,,,1.77
2023-01-01 04:00:56,121.37,71.42,8.05,,,,,3.87
2023-01-01 05:00:56,110.37,77.21,6.77,965.12,,,,6.75
2023-01-01 06:00:56,111.46,68.65,4.24,365.86,,,,5.18
2023-01-01 07:00:56,82.8,62.77,4.11,319.98,,,,5.78
2023-01-01 08:00:56,69.68,55.32,2.85,180.63,,,,5.26
2023-01-01 09:00:56,51.54,40.74,3.58,270.45,,,,6.6
2023-01-01 10:00:56,60.67,41.71,21.23,485.08,,,,8.8
2023-01-01 11:00:56,90.03,61.89,87.83,510.13,,,,9.38
2023-01-01 12:00:56,115.2,82.47,14.07,242.86,,,,9.08
2023-01-01 13:00:56,116.65,79.56,11.88,382.05,,,,11.41
2023-01-01 14:00:56,84.5,60.57,11.08,185.08,,,,16.88
2023-01-01 15:00:56,53.7,36.42,12.01,113.3,,,,19.07
2023-01-01 16:00:56,45.68,31.57,16.2,81.44,,,,18.0
2023-01-01 17:00:56,36.25,25.01,15.31,67.87,,,,15.31
2023-01-01 18:00:56,26.46,19.94,11.69,119.13,,,,10.26
2023-01-01 19:00:56,32.91,13.38,11.14,390.45,,,,3.26
2023-01-01 20:00:56,40.85,17.46,9.74,951.49,,,,1.36
2023-01-01 21:00:56,54.35,33.5,8.82,,,,,2.89
2023-01-01 22:00:56,75.01,51.77,12.54,,,,,5.25
2023-01-01 23:00:56,98.45,63.95,18.13,,,,,4.6
2023-01-02 00:00:56,107.74,65.59,21.13,,,,,3.82
2023-01-02 01:00:56,105.18,64.27,17.29,997.9,,,,1.49
2023-01-02 02:00:56,85.58,63.44,16.46,,,,,2.84
2023-01-02 03:00:56,77.8,61.16,12.58,,,,,3.58
2023-01-02 04:00:56,77.34,52.91,10.79,,,,,4.8
2023-01-02 05:00:56,75.04,48.89,9.89,,,,,6.59
2023-01-02 06:00:56,73.58,49.44,8.92,,,,,8.93
2023-01-02 07:00:56,79.04,53.72,11.52,,,,,9.86
2023-01-02 08:00:56,89.01,61.69,10.32,,,,,8.25
2023-01-02 09:00:56,97.13,68.04,9.24,,,,,13.08
2023-01-02 10:00:56,404.25,311.58,13.84,,,,,15.61
2023-01-02 11:00:56,402.15,296.39,21.99,,,,,7.53
2023-01-02 12:00:56,325.89,236.02,21.86,,,,,7.92
2023-01-02 13:00:56,256.85,152.07,13.04,501.74,,,,8.62
2023-01-02 14:00:56,136.6,62.3,12.09,360.58,,,,12.24
2023-01-02 15:00:56,69.21,45.18,12.13,188.39,,,,13.83
2023-01-02 16:00:56,56.02,50.57,13.07,75.94,,,,14.86
2023-01-02 17:00:56,55.6,33.74,15.48,125.98,,,,11.55
2023-01-02 18:00:56,86.39,42.71,12.69,397.68,,,,1.46
2023-01-02 19:00:56,114.04,64.5,17.41,,,,,8.97
2023-01-02 20:00:56,210.99,91.81,18.25,,,,,0.69
2023-01-02 21:00:56,201.41,74.12,16.42,,,,,3.42
2023-01-02 22:00:56,254.75,111.68,25.65,,,,,6.74
2023-01-02 23:00:56,247.76,134.57,42.79,,,,,2.86
2023-01-03 00:00:56,218.99,119.94,28.87,,,,,6.03
2023-01-03 01:00:56,221.84,117.29,23.92,,,,,15.59
2023-01-03 02:00:56,235.09,148.22,13.76,,,,,10.84
2023-01-03 03:00:56,200.89,133.22,10.51,,,,,5.56
2023-01-03 04:00:56,153.11,101.05,8.69,921.53,,,,5.46
2023-01-03 05:00:56,127.42,74.87,10.55,941.03,,,,7.19
2023-01-03 06:00:56,112.78,66.07,10.02,,,,,8.67
2023-01-03 07:00:56,105.27,77.56,9.36,974.52,,,,11.01
2023-01-03 08:00:56,113.94,86.16,3.17,619.03,,,,7.71
2023-01-03 09:00:56,102.46,75.87,3.27,,,,,15.43
2023-01-03 10:00:56,133.84,106.08,3.61,,,,,16.3
2023-01-03 11:00:56,324.25,184.78,4.48,,,,,14.65
2023-01-03 12:00:56,339.04,218.44,4.53,734.25,,,,8.2
