tarih_saat,PM10 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),NO ( µg/m3 )
2023-01-01 00:00:56,,34.44,,76.9,203.67,126.78
2023-01-01 01:00:56,,40.17,,102.88,407.37,304.49
2023-01-01 02:00:56,,53.91,,86.05,282.36,196.31
2023-01-01 03:00:56,,38.37,,59.01,129.8,70.79
2023-01-01 04:00:56,,32.29,,52.51,109.09,56.59
2023-01-01 05:00:56,,26.78,,47.37,86.71,39.33
2023-01-01 06:00:56,,36.27,,47.5,102.38,54.88
2023-01-01 07:00:56,,27.92,,55.25,122.69,67.44
2023-01-01 08:00:56,,34.45,,67.64,194.63,126.99
2023-01-01 09:00:56,,66.64,,67.4,228.9,161.5
2023-01-01 10:00:56,,92.88,,83.0,215.54,132.54
2023-01-01 11:00:56,,79.92,,89.95,166.67,76.72
2023-01-01 12:00:56,,55.19,,69.72,110.42,40.7
2023-01-01 13:00:56,,41.61,951.88,33.06,45.7,12.64
2023-01-01 14:00:56,,46.98,780.89,26.04,34.47,8.43
2023-01-01 15:00:56,,33.67,689.01,21.48,26.7,5.22
2023-01-01 16:00:56,,37.74,689.34,31.81,41.6,9.8
2023-01-01 17:00:56,,46.06,712.14,35.74,44.95,9.2
2023-01-01 18:00:56,,48.79,871.1,53.48,69.99,16.51
2023-01-01 19:00:56,,44.25,,73.79,122.68,48.89
2023-01-01 20:00:56,,38.56,,74.9,120.87,45.97
2023-01-01 21:00:56,,36.17,,67.86,111.15,43.29
2023-01-01 22:00:56,,33.93,,75.92,163.2,87.29
2023-01-01 23:00:56,,30.81,,76.57,148.66,72.09
2023-01-02 00:00:56,,26.48,917.21,57.01,74.21,17.2
2023-01-02 01:00:56,,24.63,646.28,42.3,44.22,1.92
2023-01-02 02:00:56,,23.03,624.77,34.69,41.2,6.52
2023-01-02 03:00:56,,22.09,595.6,27.16,32.41,5.25
2023-01-02 04:00:56,,21.67,565.62,32.64,40.21,7.57
2023-01-02 05:00:56,,23.87,605.86,39.93,45.99,6.05
2023-01-02 06:00:56,,22.89,656.28,37.8,48.96,11.16
2023-01-02 07:00:56,,22.61,555.87,25.55,28.76,3.21
2023-01-02 08:00:56,,21.03,690.45,55.22,81.67,26.45
2023-01-02 09:00:56,,47.99,,104.46,307.62,203.16
2023-01-02 10:00:56,,82.79,,99.51,254.11,154.6
2023-01-02 11:00:56,,56.71,,110.43,253.07,142.64
2023-01-02 12:00:56,,62.06,,102.39,185.86,83.47
2023-01-02 13:00:56,,54.13,,76.84,132.12,55.28
2023-01-02 14:00:56,,28.78,770.02,54.84,79.05,24.21
2023-01-02 15:00:56,,33.56,631.82,38.45,49.79,11.34
2023-01-02 16:00:56,,44.03,623.09,39.3,51.53,12.23
2023-01-02 17:00:56,,31.79,718.6,53.15,66.62,13.47
2023-01-02 18:00:56,,31.77,969.75,80.7,108.19,27.49
2023-01-02 19:00:56,,69.78,,101.85,194.39,92.54
2023-01-02 20:00:56,,34.62,,142.49,420.71,278.22
2023-01-02 21:00:56,,28.92,,116.34,298.94,182.6
2023-01-02 22:00:56,,24.06,,80.93,138.72,57.79
2023-01-02 23:00:56,,82.34,,80.45,153.95,73.51
2023-01-03 00:00:56,,40.62,,76.58,132.78,56.2
2023-01-03 01:00:56,,29.93,,79.62,144.31,64.7
2023-01-03 02:00:56,,27.84,,82.04,164.97,82.93
2023-01-03 03:00:56,,28.61,,73.19,121.64,48.45
2023-01-03 04:00:56,,37.76,,71.91,133.9,61.99
2023-01-03 05:00:56,,34.2,,60.62,86.94,26.32
2023-01-03 06:00:56,,26.49,,55.12,65.82,10.71
2023-01-03 07:00:56,,26.86,,60.94,96.74,35.8
2023-01-03 08:00:56,,40.29,,95.87,268.4,172.53
2023-01-03 09:00:56,,75.24,,110.38,416.49,306.11
2023-01-03 10:00:56,,87.7,,119.33,386.39,267.05
2023-01-03 11:00:56,,59.54,,91.2,188.16,96.96
2023-01-03 12:00:56,,87.34,,136.96,311.55,174.59
2023-01-03 13:00:56,,74.53,,88.8,182.85,94.05
2023-01-03 14:00:56,,53.08,,67.8,115.22,47.42
2023-01-03 15:00:56,,63.29,,63.33,95.85,32.52
2023-01-03 16:00:56,,65.64,,67.03,97.61,30.58
2023-01-03 17:00:56,,57.84,,80.28,106.5,26.22
2023-01-03 18:00:56,,52.23,,98.44,142.53,44.09
2023-01-03 19:00:56,,102.69,,127.96,295.43,167.46
2023-01-03 20:00:56,,36.83,,146.02,366.85,220.83
2023-01-03 21:00:56,,30.98,,119.4,290.67,171.27
2023-01-03 22:00:56,,39.39,,89.25,184.86,95.61
2023-01-03 23:00:56,,32.28,,96.48,224.05,127.58
2023-01-04 00:00:56,,31.29,,84.1,157.32,73.22
2023-01-04 01:00:56,,26.57,,88.34,179.44,91.1
2023-01-04 02:00:56,,33.1,,128.14,329.3,201.16
2023-01-04 03:00:56,,38.76,,117.61,308.9,191.29
2023-01-04 04:00:56,,52.7,,88.57,209.68,121.12
2023-01-04 05:00:56,,42.35,,79.85,181.49,101.64
2023-01-04 06:00:56,,87.84,,71.9,167.62,95.72
2023-01-04 07:00:56,,150.22,,77.91,243.23,165.32
2023-01-04 08:00:56,,93.85,,109.69,422.23,312.54
2023-01-04 09:00:56,,89.33,,140.92,599.77,458.84
2023-01-04 10:00:56,,146.41,,158.87,520.52,361.65
2023-01-04 11:00:56,,103.15,,209.92,507.61,297.68
2023-01-04 12:00:56,,70.01,,162.25,334.81,172.57
2023-01-04 13:00:56,,52.27,,114.77,197.49,82.72
2023-01-04 14:00:56,,44.46,,91.21,137.75,46.54
2023-01-04 15:00:56,,53.25,,67.25,89.04,21.78
2023-01-04 16:00:56,,44.94,,60.86,71.48,10.62
2023-01-04 17:00:56,,41.27,,68.22,76.12,7.89
2023-01-04 18:00:56,,60.83,,96.95,118.87,21.91
2023-01-04 19:00:56,,77.11,,144.46,301.17,156.71
2023-01-04 20:00:56,,57.98,,151.76,360.78,209.02
2023-01-04 21:00:56,,48.14,,146.73,384.74,238.01
2023-01-04 22:00:56,,41.94,,143.57,399.22,255.65
2023-01-04 23:00:56,,39.37,,144.54,391.21,246.67
2023-01-05 00:00:56,,69.95,,175.14,551.94,376.8
2023-01-05 01:00:56,,174.97,11.123,196.33,690.27,493.94
2023-01-05 02:00:56,,108.53,,198.37,677.88,479.51
2023-01-05 03:00:56,,104.44,,213.14,711.28,498.14
2023-01-05 04:00:56,,100.43,,169.11,537.92,368.81
2023-01-05 05:00:56,,112.73,,141.82,447.23,305.42
2023-01-05 06:00:56,,100.94,,132.64,429.93,297.29
2023-01-05 07:00:56,,96.53,,128.63,436.61,307.98
2023-01-05 08:00:56,,96.66,,122.77,400.0,277.22
2023-01-05 09:00:56,,68.65,,132.58,457.48,324.9
2023-01-05 10:00:56,,48.6,,89.28,243.26,153.98
2023-01-05 11:00:56,,64.55,,76.79,158.84,82.06
2023-01-05 12:00:56,,63.17,,101.49,193.5,92.01
2023-01-05 13:00:56,,62.78,,92.13,180.06,87.92
2023-01-05 14:00:56,,67.3,,88.96,145.23,56.27
2023-01-05 15:00:56,,71.87,,89.72,128.02,38.31
2023-01-05 16:00:56,,71.55,,79.69,108.02,28.32
2023-01-05 17:00:56,,62.23,,76.27,107.79,31.53
2023-01-05 18:00:56,,72.49,,86.79,131.75,44.96
2023-01-05 19:00:56,,81.76,,107.46,189.46,82.0
2023-01-05 20:00:56,,72.12,,128.56,301.56,173.0
2023-01-05 21:00:56,,173.78,,157.8,465.3,307.49
2023-01-05 22:00:56,,169.38,,159.64,516.02,356.38
2023-01-05 23:00:56,,178.55,,116.52,320.26,203.75
2023-01-06 00:00:56,,160.99,,127.23,407.3,280.07
2023-01-06 01:00:56,,110.78,,117.45,340.43,222.99
2023-01-06 02:00:56,,169.55,,122.43,369.23,246.8
2023-01-06 03:00:56,,115.27,,116.54,342.56,226.02
2023-01-06 04:00:56,,114.06,,112.01,356.06,244.05
2023-01-06 05:00:56,,101.63,,100.53,309.61,209.08
2023-01-06 06:00:56,,86.53,,95.69,297.79,202.1
2023-01-06 07:00:56,,85.75,,92.73,284.77,192.03
2023-01-06 08:00:56,,75.88,,127.96,458.15,330.18
2023-01-06 09:00:56,,83.2,,157.93,639.17,481.24
2023-01-06 10:00:56,,109.31,,191.48,646.86,455.38
2023-01-06 11:00:56,,113.36,,193.22,446.0,252.78
2023-01-06 12:00:56,,85.23,,169.93,312.21,142.29
2023-01-06 13:00:56,,80.43,,147.18,237.54,90.35
2023-01-06 14:00:56,,68.79,,132.96,189.97,57.02
2023-01-06 15:00:56,,62.6,,113.73,143.63,29.9
2023-01-06 16:00:56,,58.45,,81.9,100.3,18.4
2023-01-06 17:00:56,,60.77,,121.92,169.6,47.68
