tarih_saat,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),NO ( µg/m3 ),O3 ( µg/m3 )
2023-01-01 00:00:56,17.66,2.4,271.42,14.34,14.89,0.55,23.27
2023-01-01 01:00:56,20.56,2.2,287.9,14.51,14.98,0.47,11.45
2023-01-01 02:00:56,18.44,2.29,333.94,14.39,14.86,0.47,10.92
2023-01-01 03:00:56,18.68,2.28,309.8,12.58,13.0,0.42,10.58
2023-01-01 04:00:56,16.46,2.06,355.73,14.55,15.35,0.8,12.04
2023-01-01 05:00:56,17.96,1.95,392.12,13.88,14.41,0.53,15.61
2023-01-01 06:00:56,23.77,1.87,284.26,10.5,10.75,0.25,16.65
2023-01-01 07:00:56,28.72,2.32,237.11,10.45,10.59,0.14,20.09
2023-01-01 08:00:56,25.14,2.79,296.45,23.11,29.61,6.5,11.6
2023-01-01 09:00:56,17.96,2.68,545.85,104.78,163.72,58.94,13.43
2023-01-01 10:00:56,15.3,2.63,405.91,29.69,41.94,12.25,15.1
2023-01-01 11:00:56,24.37,2.87,348.26,16.19,23.12,6.93,20.89
2023-01-01 12:00:56,30.94,4.61,280.84,12.84,16.85,4.01,38.7
2023-01-01 13:00:56,34.84,8.48,245.38,9.95,10.94,0.99,58.31
2023-01-01 14:00:56,30.69,10.01,255.14,8.59,9.21,0.62,65.23
2023-01-01 15:00:56,22.05,8.09,248.6,7.56,7.94,0.38,74.03
2023-01-01 16:00:56,15.99,6.06,233.66,7.84,8.18,0.34,74.98
2023-01-01 17:00:56,11.76,4.31,226.78,8.23,8.48,0.25,74.13
2023-01-01 18:00:56,8.45,3.02,217.92,9.86,10.04,0.18,65.37
2023-01-01 19:00:56,5.91,2.14,207.4,10.36,10.47,0.11,56.72
2023-01-01 20:00:56,4.14,1.56,292.33,10.27,10.49,0.22,45.85
2023-01-01 21:00:56,2.94,1.16,231.39,8.3,8.45,0.15,37.64
2023-01-01 22:00:56,2.15,1.03,219.44,8.68,8.92,0.24,31.5
2023-01-01 23:00:56,1.61,0.98,214.44,8.73,8.89,0.16,34.31
2023-01-02 00:00:56,1.49,0.87,235.94,12.72,13.89,1.17,29.25
2023-01-02 01:00:56,2.14,0.92,188.64,8.56,8.96,0.4,29.74
2023-01-02 02:00:56,2.25,0.98,154.4,7.12,7.47,0.35,29.89
2023-01-02 03:00:56,2.11,0.97,190.42,7.48,8.25,0.77,28.88
2023-01-02 04:00:56,1.99,1.11,213.45,9.74,10.65,0.91,14.08
2023-01-02 05:00:56,1.8,1.3,205.59,8.99,9.39,0.4,10.26
2023-01-02 06:00:56,1.82,1.36,263.5,12.73,13.29,0.56,9.15
2023-01-02 07:00:56,3.09,1.36,143.97,9.82,10.26,0.44,6.15
2023-01-02 08:00:56,3.72,1.38,191.33,11.62,12.41,0.79,7.64
2023-01-02 09:00:56,3.57,1.36,248.78,18.27,21.56,3.29,9.08
2023-01-02 10:00:56,4.73,1.34,317.43,21.53,33.32,11.79,18.1
2023-01-02 11:00:56,11.05,1.75,367.35,54.78,91.45,36.67,29.96
2023-01-02 12:00:56,17.99,4.93,219.9,23.2,37.68,14.48,47.67
2023-01-02 13:00:56,21.52,8.18,186.57,7.62,8.69,1.07,54.07
2023-01-02 14:00:56,18.58,7.98,193.93,7.83,8.62,0.79,60.59
2023-01-02 15:00:56,13.29,6.84,207.1,6.71,7.38,0.67,69.2
2023-01-02 16:00:56,9.64,6.05,215.12,6.31,6.79,0.48,70.39
2023-01-02 17:00:56,7.7,5.35,206.97,7.11,7.59,0.48,66.82
2023-01-02 18:00:56,6.27,4.63,218.86,10.51,10.95,0.44,44.92
2023-01-02 19:00:56,4.63,3.61,216.45,11.23,11.56,0.33,43.68
2023-01-02 20:00:56,3.24,2.56,267.31,9.88,10.27,0.39,38.98
2023-01-02 21:00:56,2.3,1.86,328.16,11.12,12.01,0.89,33.09
2023-01-02 22:00:56,3.27,1.39,201.0,8.26,8.69,0.43,36.71
2023-01-02 23:00:56,8.09,1.07,176.29,9.21,9.65,0.44,30.22
2023-01-03 00:00:56,8.92,0.85,266.97,18.43,19.91,1.48,21.22
2023-01-03 01:00:56,12.37,0.68,233.95,15.02,15.42,0.4,24.52
2023-01-03 02:00:56,12.47,0.57,156.94,8.76,9.02,0.26,23.73
2023-01-03 03:00:56,8.79,0.48,140.26,7.17,7.37,0.2,19.57
2023-01-03 04:00:56,8.54,0.42,202.57,6.74,7.0,0.26,21.23
2023-01-03 05:00:56,8.83,0.37,182.6,5.7,5.9,0.2,27.46
