tarih_saat,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),NO ( µg/m3 ),O3 ( µg/m3 )
2023-01-01 00:00:56,261.55,172.64,,,,,21.75
2023-01-01 01:00:56,222.33,144.76,,,,,17.82
2023-01-01 02:00:56,166.6,125.64,,,,,
2023-01-01 03:00:56,209.09,145.22,,,,,23.94
2023-01-01 04:00:56,261.83,158.55,,,,,17.22
2023-01-01 05:00:56,189.24,108.6,,,,,14.61
2023-01-01 06:00:56,111.97,62.32,,,,,15.64
2023-01-01 07:00:56,119.39,69.77,,,,,15.48
2023-01-01 08:00:56,99.66,62.67,,,,,15.52
2023-01-01 09:00:56,93.64,58.57,,,,,15.89
2023-01-01 10:00:56,123.81,78.09,,,,,17.98
2023-01-01 11:00:56,143.95,95.04,,,,,23.38
2023-01-01 12:00:56,169.23,88.74,,,,,28.56
2023-01-01 13:00:56,179.29,97.65,599.96,,,,56.6
2023-01-01 14:00:56,118.89,65.73,387.12,,,,67.62
2023-01-01 15:00:56,74.03,48.88,306.31,,,,80.97
2023-01-01 16:00:56,44.64,31.1,459.99,,,,71.45
2023-01-01 17:00:56,38.88,29.83,566.71,,,,58.76
2023-01-01 18:00:56,38.45,27.39,,,,,33.97
2023-01-01 19:00:56,38.47,30.74,,,,,19.11
2023-01-01 20:00:56,69.33,56.67,,,,,22.91
2023-01-01 21:00:56,376.05,244.43,,,,,24.3
2023-01-01 22:00:56,299.02,187.7,,,,,22.14
2023-01-01 23:00:56,234.64,151.64,,,,,20.53
2023-01-02 00:00:56,170.95,127.73,,,,,16.04
2023-01-02 01:00:56,78.28,63.51,,,,,15.17
2023-01-02 02:00:56,16.41,18.77,913.98,,,,15.8
2023-01-02 03:00:56,17.5,22.54,710.64,,,,19.07
2023-01-02 04:00:56,25.18,18.97,629.63,,,,19.47
2023-01-02 05:00:56,34.44,23.43,833.11,,,,21.92
2023-01-02 06:00:56,49.48,35.05,944.08,,,,15.5
2023-01-02 07:00:56,29.27,13.84,,,,,16.22
2023-01-02 08:00:56,9.36,15.8,,,,,16.61
2023-01-02 09:00:56,51.63,28.8,,,,,18.19
2023-01-02 10:00:56,158.57,91.62,,,,,25.99
2023-01-02 11:00:56,422.19,234.98,,,,,21.57
2023-01-02 12:00:56,307.7,182.26,,,,,28.47
2023-01-02 13:00:56,206.95,102.11,919.51,,,,39.16
2023-01-02 14:00:56,107.59,33.9,790.02,,,,53.45
2023-01-02 15:00:56,95.46,34.23,676.68,,,,62.13
2023-01-02 16:00:56,74.53,56.18,685.39,,,,63.22
2023-01-02 17:00:56,78.21,50.7,,,,,40.59
2023-01-02 18:00:56,107.22,43.42,,,,,23.25
2023-01-02 19:00:56,110.0,50.67,,,,,17.52
2023-01-02 20:00:56,101.17,53.36,,,,,16.98
2023-01-02 21:00:56,172.14,85.01,,,,,21.87
2023-01-02 22:00:56,221.78,142.79,,,,,21.25
2023-01-02 23:00:56,239.08,151.39,,,,,21.83
2023-01-03 00:00:56,288.9,176.48,,,,,19.62
2023-01-03 01:00:56,230.19,137.1,,,,,20.61
2023-01-03 02:00:56,149.65,110.79,,,,,22.06
2023-01-03 03:00:56,166.37,114.23,,,,,21.64
2023-01-03 04:00:56,156.0,89.73,,,,,20.99
2023-01-03 05:00:56,163.78,98.63,,,,,20.01
2023-01-03 06:00:56,162.85,88.4,,,,,21.43
2023-01-03 07:00:56,155.73,85.03,,,,,20.73
2023-01-03 08:00:56,101.09,66.35,,,,,22.06
2023-01-03 09:00:56,150.73,94.97,,,,,24.19
2023-01-03 10:00:56,226.85,136.14,,,,,26.02
2023-01-03 11:00:56,303.98,170.0,,,,,26.41
2023-01-03 12:00:56,350.12,212.64,,,,,28.72
2023-01-03 13:00:56,342.06,203.73,,,,,31.76
2023-01-03 14:00:56,150.59,157.68,810.84,,,,36.98
2023-01-03 15:00:56,118.75,112.47,854.6,,,,44.1
2023-01-03 16:00:56,121.97,89.42,963.96,,,,41.92
2023-01-03 17:00:56,169.63,90.38,947.67,,,,38.97
2023-01-03 18:00:56,157.72,87.21,,,,,25.11
2023-01-03 19:00:56,213.61,111.43,,,,,27.93
2023-01-03 20:00:56,339.43,152.94,,,,,33.71
2023-01-03 21:00:56,634.98,384.65,,,,,30.37
2023-01-03 22:00:56,548.46,348.45,,,,,29.21
2023-01-03 23:00:56,496.11,303.55,,,,,27.95
2023-01-04 00:00:56,388.67,316.33,,,,,26.68
2023-01-04 01:00:56,438.8,296.12,,,,,31.2
2023-01-04 02:00:56,331.17,224.11,,,,,33.33
2023-01-04 03:00:56,319.67,212.23,,,,,32.65
2023-01-04 04:00:56,269.38,176.38,,,,,32.63
2023-01-04 05:00:56,226.26,136.19,,,,,31.81
2023-01-04 06:00:56,184.86,111.82,,,,,32.03
2023-01-04 07:00:56,207.1,139.66,,,,,32.65
2023-01-04 08:00:56,224.72,121.57,,,,,32.2
2023-01-04 09:00:56,273.35,178.48,,,,,34.87
2023-01-04 10:00:56,364.51,228.87,,,,,35.72
2023-01-04 11:00:56,398.43,241.11,,,,,36.5
2023-01-04 12:00:56,433.38,266.57,,,,,36.44
2023-01-04 13:00:56,,,,,,,11.78
2023-01-04 14:00:56,250.35,207.07,658.92,,,,27.77
2023-01-04 15:00:56,256.46,176.55,415.0,,,,29.79
2023-01-04 16:00:56,204.34,143.48,548.81,,,,29.66
2023-01-04 17:00:56,178.76,134.39,82.69,,,,24.44
2023-01-04 18:00:56,174.06,99.61,,,,,20.12
2023-01-04 19:00:56,180.92,94.1,,,,,22.9
2023-01-04 20:00:56,228.37,126.46,,,,,28.64
2023-01-04 21:00:56,500.85,304.61,,,,,26.98
2023-01-04 22:00:56,498.92,303.77,,,,,29.19
2023-01-04 23:00:56,447.84,307.35,,,,,24.77
2023-01-05 00:00:56,362.14,237.76,,,,,24.7
2023-01-05 01:00:56,500.47,340.57,,,,,40.7
2023-01-05 02:00:56,586.11,368.29,,,,,40.89
2023-01-05 03:00:56,522.09,307.14,,,,,39.24
2023-01-05 04:00:56,384.54,203.49,,,,,38.92
2023-01-05 05:00:56,327.06,189.15,,,,,39.93
2023-01-05 06:00:56,363.94,235.09,,,,,38.62
2023-01-05 07:00:56,372.32,221.9,,,,,38.28
